,sensitivity,far,tp,fp,fn,p
0.0,0.5542503203759077,9.872759226713532,2594,28088,2087,4682
0.5,0.5523280649295172,7.563444639718805,2585,21518,2096,4682
1.0,0.5457069628363946,5.455536028119508,2554,15521,2127,4682
1.5,0.5395130286202477,3.6080843585237257,2525,10265,2156,4682
2.0,0.520717642033319,2.181019332161687,2437,6205,2244,4682
2.5,0.4967962409226826,1.1360281195079087,2325,3232,2356,4682
3.0,0.44404100811618963,0.5486818980667838,2078,1561,2603,4682
3.5,0.3857325929090133,0.22987697715289981,1806,654,2876,4682
4.0,0.3067065356685177,0.08787346221441125,1436,250,3246,4682
4.5,0.22639897479709525,0.02952548330404218,1060,84,3622,4682
5.0,0.15121742844938058,0.009138840070298769,708,26,3974,4682
5.5,0.09333618111917985,0.00281195079086116,437,8,4245,4682
6.0,0.04891072191371204,0.00070298769771529,229,2,4453,4682
